blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14422212,1647487589,100000000000,100000000000000000000000,915302038410907126950,90828509087968344932627822,0.001100975905077875,true
14422459,1647487836,100000000000,100000000000000000000000,915297938158333383669,90827699436839620002670760,0.001100985719334867,true
14422706,1647488083,100000000000,100000000000000000000000,915293842913409730324,90826890779073180590731626,0.001100995521725382,true
14422953,1647488330,100000000000,100000000000000000000000,915289752598814963141,90826083099316694002297236,0.001101005312434884,true
14423200,1647488577,100000000000,100000000000000000000000,915285667251837484192,90825276404964555871207202,0.001101015091373109,true
14423447,1647488824,100000000000,100000000000000000000000,915281586831725835779,90824470687923056297201347,0.001101024858637541,true
14423694,1647489071,100000000000,100000000000000000000000,915277701450225166582,90823703671430866034630058,0.001101034156917513,true
14423941,1647489318,100000000000,100000000000000000000000,915273542828619832742,90822882426716613728072652,0.001101044112761871,true
14424188,1647489565,100000000000,100000000000000000000000,915269476428858920842,90822079483994619881874557,0.001101053846907598,true
14424435,1647489812,100000000000,100000000000000000000000,915265415412246196113,90821277609118545341992744,0.001101063568279509,true
14424682,1647490059,100000000000,100000000000000000000000,915261359188695288631,90820476684973846821290949,0.001101073278296775,true
14424929,1647490306,100000000000,100000000000000000000000,915257307695904104927,90819676699189938953801421,0.001101082977108769,true
14425176,1647490553,100000000000,100000000000000000000000,915253260906053278164,90818877646241084572971975,0.001101092664781889,true
14425423,1647490800,100000000000,100000000000000000000000,915249218833240496006,90818079528918990004121152,0.001101102341281696,true
14425670,1647491047,100000000000,100000000000000000000000,915245371524853705511,90817320062990415568213136,0.001101111549323857,true
14425917,1647491294,100000000000,100000000000000000000000,915241250674230547083,90816506310765628185521098,0.001101121415723803,true
14426164,1647491541,100000000000,100000000000000000000000,915237221888357606436,90815710828706011224646861,0.001101131060776665,true
14426411,1647491788,100000000000,100000000000000000000000,915233198211607548422,90814916360063014924469333,0.001101140693710711,true
14426658,1647492035,100000000000,100000000000000000000000,915229179087830396278,90814122794461603871379543,0.001101150315863631,true
14426905,1647492282,100000000000,100000000000000000000000,915225164492361521968,90813330127002060100411232,0.001101159927294268,true
14427152,1647492529,100000000000,100000000000000000000000,915221154383577058397,90812538349419198035090425,0.001101169528102278,true
14427399,1647492776,100000000000,100000000000000000000000,915217148721900941572,90811747453854357047171153,0.001101179118382394,true
14427646,1647493023,100000000000,100000000000000000000000,915213337703421796397,90810995177727967899468281,0.001101188240524047,true
14427893,1647493270,100000000000,100000000000000000000000,915209252929586111790,90810188574889726358974751,0.001101198021602296,true
14428140,1647493517,100000000000,100000000000000000000000,915205259968533019892,90809400191577249954902653,0.001101207581913697,true
14428387,1647493764,100000000000,100000000000000000000000,915201271958873146083,90808612790341552204237037,0.001101217130481658,true
14428634,1647494011,100000000000,100000000000000000000000,915197288273587030399,90807826246748812074327964,0.001101226668814575,true
14428881,1647494258,100000000000,100000000000000000000000,915193308875991873747,90807040553514465539649658,0.001101236197000252,true
14429128,1647494505,100000000000,100000000000000000000000,915189333811545294914,90806255719654226943239878,0.001101245714928821,true
14429375,1647494752,100000000000,100000000000000000000000,915185362933613068925,90805471716065924082443325,0.001101255222952685,true
14429622,1647494999,100000000000,100000000000000000000000,915181586503116036629,90804726298288832745644283,0.001101264263178385,true
14429869,1647495246,100000000000,100000000000000000000000,915177536073567927083,90803926507300144197844698,0.001101273962992784,true
14430116,1647495493,100000000000,100000000000000000000000,915173577200675954272,90803144884380350645409613,0.001101283442631089,true
14430363,1647495740,100000000000,100000000000000000000000,915169623077252686138,90802364203428148085468350,0.001101292911007977,true
14430610,1647495987,100000000000,100000000000000000000000,915165673117510013003,90801584348195668342743099,0.001101302369532796,true
14430857,1647496234,100000000000,100000000000000000000000,915161727229051762464,90800805300344061626529875,0.001101311818427463,true
14431104,1647496481,100000000000,100000000000000000000000,915157785424333007036,90800027062341026849471588,0.001101321257661547,true
14431351,1647496728,100000000000,100000000000000000000000,915153847683561074473,90799249630255137874025618,0.001101330687282233,true
14431598,1647496975,100000000000,100000000000000000000000,915150104130867478088,90798510724716597264872992,0.001101339649756817,true
14431845,1647497222,100000000000,100000000000000000000000,915146086458286048287,90797717423840636217853158,0.001101349272176121,true
14432092,1647497469,100000000000,100000000000000000000000,915142160163086735168,90796942254840698131619224,0.001101358674825513,true
14432339,1647497716,100000000000,100000000000000000000000,915138238444548587413,90796167993486927499842360,0.001101368066625601,true
14432586,1647497963,100000000000,100000000000000000000000,915134320632421695713,90795394506775349157703761,0.001101377449189207,true
14432833,1647498210,100000000000,100000000000000000000000,915130406721219462728,90794621793613809886334083,0.001101386822529103,true
14433080,1647498457,100000000000,100000000000000000000000,915126496726470774662,90793849857079608094196529,0.001101396186607484,true
14433327,1647498704,100000000000,100000000000000000000000,915122590555422949159,90793078678765156900055797,0.001101405541647175,true
14433574,1647498951,100000000000,100000000000000000000000,915118878450262012965,90792346007932331839873367,0.001101414429706037,true
14433821,1647499198,100000000000,100000000000000000000000,915114891949418548274,90791558888872638167586523,0.001101423978438329,true
14434068,1647499445,100000000000,100000000000000000000000,915110996625826968892,90790789861363670216328825,0.001101433307857533,true
14434315,1647499692,100000000000,100000000000000000000000,915107105662374055765,90790021698504518670630340,0.001101442626945062,true
14434562,1647499939,100000000000,100000000000000000000000,915103218462283184832,90789254281875720389907342,0.001101451937137047,true
14434809,1647500186,100000000000,100000000000000000000000,915099334983166293373,90788487603063374540824454,0.001101461238535113,true
14435056,1647500433,100000000000,100000000000000000000000,915095455226414119545,90787721662339770395919914,0.001101470531135507,true
14435303,1647500680,100000000000,100000000000000000000000,915091579102263466931,90786956441891564578561185,0.001101479815153901,true
14435550,1647500927,100000000000,100000000000000000000000,915087896875896884943,90786229687865125314581299,0.001101488632624275,true
14435797,1647501174,100000000000,100000000000000000000000,915083940127558694422,90785448462382867657169417,0.001101498111136557,true
14436044,1647501421,100000000000,100000000000000000000000,915080074380492797119,90784685292931504813250444,0.001101507370734764,true
14436291,1647501668,100000000000,100000000000000000000000,915076212806730107679,90783922951033838543953725,0.00110151662044762,true
14436538,1647501915,100000000000,100000000000000000000000,915072354823974106570,90783161321147257894828638,0.001101525861676572,true
14436785,1647502162,100000000000,100000000000000000000000,915068500428926850694,90782400402615297569263811,0.001101535094429152,true
14437032,1647502409,100000000000,100000000000000000000000,915064649502198855469,90781640171745824214957766,0.001101544318992412,true
14437279,1647502656,100000000000,100000000000000000000000,915060802126422365868,90780880644931868243117620,0.001101553535167019,true
14437526,1647502904,100000000000,100000000000000000000000,915057148384149690934,90780159537241712772469892,0.001101562285302835,true
14437773,1647503151,100000000000,100000000000000000000000,915053219935020373449,90779383923225466029320493,0.001101571696989843,true
14438020,1647503398,100000000000,100000000000000000000000,915049382336799222870,90778626334807276552347849,0.001101580890100525,true
14438267,1647503645,100000000000,100000000000000000000000,915045548714427937467,90777869534739643512322207,0.00110159007379801,true
14438514,1647503892,100000000000,100000000000000000000000,915041718519038391742,90777113414118074948765067,0.001101599249403402,true
14438761,1647504139,100000000000,100000000000000000000000,915037891700648669696,90776357963022645501795285,0.001101608417036675,true
14439008,1647504386,100000000000,100000000000000000000000,915034068276082543072,90775603184788454673857319,0.001101617576656954,true
14439255,1647504633,100000000000,100000000000000000000000,915030248157598286184,90774849062005137790548654,0.001101626728475125,true
14439502,1647504880,100000000000,100000000000000000000000,915026431362231435387,90774095598049946074588881,0.001101635872449807,true
14439749,1647505127,100000000000,100000000000000000000000,915022808049766143640,90773380515570831065078959,0.001101644550770547,true
14439996,1647505374,100000000000,100000000000000000000000,915018909903503310481,90772610903613313369894801,0.001101653891019888,true
14440243,1647505621,100000000000,100000000000000000000000,915015102379720032201,90771859271270355080626704,0.001101663013215929,true
14440490,1647505868,100000000000,100000000000000000000000,915011298729970113290,90771108407055703893259928,0.001101672126240412,true
14440737,1647506115,100000000000,100000000000000000000000,915007498267508739880,90770358174713879519563517,0.001101681231746612,true
14440984,1647506362,100000000000,100000000000000000000000,915003701063336188749,90769608588329054199089904,0.001101690329563212,true
14441231,1647506609,100000000000,100000000000000000000000,914999906994480650363,90768859623501365038178348,0.001101699419985976,true
14441478,1647506856,100000000000,100000000000000000000000,914996116118798446646,90768111291707841199793707,0.001101708502875233,true
